ID,Sex,JulianDay,Easting,Northing
378,F,137,633153.3302,5270200.537
379,M,137,627461.4118,5273248.941
392,M,137,607428.8778,5222042.811
393,F,137,609057.6529,5217898.364
374,M,138,650357.0552,5282384.055
375,F,138,652333.0476,5277018.507
377,F,138,642939.8853,5266381.071
378,F,138,631985.4748,5271399.322
379,M,138,629162.628,5273244.128
392,M,138,607071.7618,5221154.825
393,F,138,607502.5012,5221412.739
375,F,139,652031.3182,5276884.958
378,F,139,630568.4414,5271587.59
379,M,139,629910.7847,5273790.008
392,M,139,607510.8905,5221368.426
393,F,139,607624.2496,5218465.797
374,M,140,647852.682,5284082.438
375,F,140,652047.0948,5276885.37
378,F,140,630763.4069,5270877.012
379,M,140,630185.8716,5274267.586
392,M,140,608510.2718,5220436.191
393,F,140,609663.3784,5217731.668
375,F,141,652335.3214,5277075.283
378,F,141,630754.6418,5270932.41
379,M,141,629918.2922,5273756.819
392,M,141,609672.3001,5220901.121
393,F,141,609779.0227,5217634.871
375,F,142,652227.9937,5277183.685
377,F,142,643104.6326,5266265.01
378,F,142,630518.6244,5271494.189
379,M,142,630014.6299,5273887.945
392,M,142,609819.3535,5222749.178
393,F,142,608247.5672,5218493.814
375,F,143,652309.7298,5277019.009
377,F,143,642979.2106,5266374.25
378,F,143,630612.3801,5271607.476
379,M,143,629712.1185,5273559.871
392,M,143,609168.1424,5225368.409
393,F,143,609051.5422,5217900.475
375,F,144,652033.3109,5276895.018
377,F,144,643048.286,5266474.906
378,F,144,629550.699,5268635.101
379,M,144,630573.4329,5274018.296
392,M,144,609728.4714,5225197.57
393,F,144,610292.2648,5220157.817
374,M,145,651427.8005,5281557.762
375,F,145,651991.7537,5276960.659
377,F,145,643066.353,5266905.685
378,F,145,628520.9922,5268707.967
379,M,145,630286.2871,5274316.529
393,F,145,609727.8321,5217735.083
374,M,146,651793.362,5281654.035
375,F,146,652227.1925,5277128.06
377,F,146,643260.1257,5267079.455
378,F,146,628381.274,5268490.303
379,M,146,630227.9897,5274300.772
392,M,146,608909.4282,5227110.043
393,F,146,609879.1914,5217472.202
374,M,147,651727.1598,5281657.868
375,F,147,652289.7614,5277035.168
377,F,147,643142.1057,5266856.39
378,F,147,628940.2867,5268738.337
379,M,147,630390.3922,5273696.198
392,M,147,608895.2749,5225243.324
393,F,147,609724.8809,5217689.451
374,M,148,649471.2883,5278681.395
375,F,148,652033.8591,5276902.817
378,F,148,628573.8652,5268596.832
379,M,148,629620.3531,5273831.354
392,M,148,610157.6419,5224825.356
393,F,148,609546.4047,5217859.568
374,M,149,649513.9462,5276932.109
375,F,149,652444.2761,5278053.433
377,F,149,642583.616,5266353.464
378,F,149,628655.0686,5268566.377
392,M,149,609525.8019,5225293.866
393,F,149,607890.2129,5218238.298
375,F,150,652331.487,5277020.69
377,F,150,643287.1828,5267020.072
378,F,150,628159.0576,5267812.744
379,M,150,630299.054,5273610.764
392,M,150,610258.4504,5227267.321
393,F,150,607996.6424,5218436.993
375,F,151,652029.6706,5276890.475
377,F,151,644336.8025,5267051.469
378,F,151,628876.6801,5268653.542
379,M,151,630019.9414,5273784.658
392,M,151,610833.4558,5227114.652
393,F,151,607997.5731,5218385.875
334,M,152,614157.2967,5263900.191
376,F,152,610296.6536,5243444.018
377,F,152,644359.3942,5267020.891
378,F,152,630869.3047,5268334.276
379,M,152,633188.9011,5273255.765
380,F,152,616466.6109,5262567.136
382,M,152,613047.3013,5262491.169
384,F,152,609039.6794,5261122.174
387,F,152,603704.5145,5252861.077
389,F,152,613381.0185,5239940.72
390,F,152,602588.8631,5242725.452
392,M,152,611162.0388,5227050.782
392,M,152,611162.0388,5227050.782
393,F,152,609877.7356,5217468.84
209,F,153,604346.412,5240870.986
334,M,153,613146.677,5264479.782
376,F,153,610506.4688,5243297.876
377,F,153,644384.6557,5266973.7
378,F,153,630817.6549,5268388.713
379,M,153,633383.9179,5273245.768
380,F,153,616349.9587,5262561.48
381,F,153,607667.1372,5263973.867
382,M,153,613294.0789,5261261.906
384,F,153,609551.3881,5260914.945
385,F,153,606898.9263,5257128.373
386,F,153,610546.0377,5242599.365
387,F,153,604684.5244,5251003.091
389,F,153,613251.397,5239878.195
390,F,153,604552.3214,5240855.74
392,M,153,610594.7802,5227193.56
393,F,153,609491.5289,5217913.026
209,F,154,605456.3208,5238839.754
334,M,154,611149.3897,5263896.72
376,F,154,610370.9865,5243469.869
377,F,154,642860.8736,5266440.298
378,F,154,630631.9541,5268480.178
379,M,154,632097.427,5274128.242
380,F,154,616479.7677,5262625.21
381,F,154,608175.2812,5263617.491
382,M,154,612157.5042,5259195.535
384,F,154,608747.3572,5261810.445
385,F,154,606647.3053,5257075.986
386,F,154,610370.9448,5243472.091
387,F,154,607639.8702,5247800.404
389,F,154,612836.7576,5240719.579
390,F,154,604439.3006,5240791.482
393,F,154,609159.2445,5217945.81
209,F,155,605366.0074,5238645.824
334,M,155,610831.8365,5262611.09
374,M,155,649691.2013,5276704.241
376,F,155,609607.7164,5244118.169
377,F,155,643012.2251,5266348.37
378,F,155,630335.167,5268962.774
380,F,155,616475.6037,5262607.339
381,F,155,608023.5574,5263676.942
384,F,155,608600.3898,5262097.873
385,F,155,606899.7002,5257127.276
386,F,155,609628.8571,5244078.542
387,F,155,605967.8975,5246421.566
389,F,155,612708.0935,5240568.148
392,M,155,609528.977,5225286.143
393,F,155,607759.0632,5218313.728
209,F,156,605404.6932,5238977.787
334,M,156,611350.5278,5263221.276
374,M,156,648820.9852,5280336.153
376,F,156,609494.1174,5243969.312
377,F,156,643058.4877,5266242.752
378,F,156,630437.2939,5269074.019
380,F,156,616429.8465,5262597.534
381,F,156,607756.5798,5263983.296
384,F,156,608028.807,5263678.151
386,F,156,609638.6555,5244160.99
387,F,156,606023.766,5246339.198
389,F,156,611834.6207,5240457.006
390,F,156,604663.7689,5240923.306
393,F,156,608176.0301,5218504.736
209,F,157,605687.9685,5238911.715
334,M,157,612903.0086,5262278.263
374,M,157,647996.1555,5281867.538
376,F,157,609559.909,5243844.916
377,F,157,643159.5926,5266204.085
378,F,157,630625.398,5269210.539
380,F,157,616486.2787,5262600.881
381,F,157,608146.8571,5263606.96
384,F,157,609197.3702,5265829.916
385,F,157,604942.7421,5256858.45
386,F,157,609552.3755,5243843.664
387,F,157,607018.5834,5245257.775
389,F,157,612105.0089,5240751.187
390,F,157,604410.3833,5240802.086
392,M,157,610146.826,5224713.989
393,F,157,609660.4244,5217768.297
209,F,158,605870.3982,5235152.053
334,M,158,613327.9722,5261340.384
376,F,158,610264.4658,5243467.872
377,F,158,644045.4056,5264117.526
378,F,158,628976.1425,5268682.423
380,F,158,616331.4203,5262546.658
384,F,158,608255.8097,5263457.783
385,F,158,604969.9454,5257023.466
386,F,158,610294.4553,5243480.663
387,F,158,609632.2099,5245439.312
389,F,158,612397.7437,5240744.537
390,F,158,604717.8788,5240856.458
393,F,158,609882.2678,5217470.036
209,F,159,605816.1238,5235351.176
334,M,159,614701.1585,5260628.933
374,M,159,648503.0544,5281047.53
375,F,159,653494.623,5274674.69
376,F,159,610703.1429,5242444.457
377,F,159,645692.939,5264089.399
378,F,159,628676.2127,5268529.039
380,F,159,616439.1491,5262622.178
381,F,159,608060.3861,5263680.958
