ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
362,F,0,181,630934.6395,5270974.759,743,1,58,3,1
374,M,1,151,658476.8605,5270814.367,731,0,24,3,0
374,M,1,152,658301.0828,5270885.221,714,4,12,4,4
374,M,1,107,649103.2327,5282982.307,620,0,18,0,0
374,M,1,119,648215.4292,5283518.968,646,0,33,0,0
374,M,1,121,648928.7854,5283665.091,682,0,54,0,0
374,M,1,122,647864.7607,5284168.374,651,0,68,4,0
374,M,1,123,648583.329,5284254.539,702,0,52,11,0
374,M,1,140,647852.682,5284082.438,650,0,79,3,0
374,M,1,148,649471.2883,5278681.395,675,13,29,13,13
374,M,1,149,649513.9462,5276932.109,688,0,41,2,0
374,M,1,155,649691.2013,5276704.241,677,0,63,0,0
374,M,1,156,648820.9852,5280336.153,650,0,21,5,0
374,M,1,157,647996.1555,5281867.538,609,2,18,5,2
374,M,1,159,648503.0544,5281047.53,701,0,49,2,0
374,M,1,160,647997.7133,5281865.354,609,2,18,5,2
374,M,1,161,647986.8088,5281880.645,609,1,29,5,1
374,M,1,162,649273.8569,5280576.84,712,0,87,1,0
374,M,1,163,649324.3052,5280309.016,696,0,53,0,0
374,M,1,164,649211.4386,5280872.16,689,1,84,2,1
374,M,1,169,647097.2624,5283908.692,591,0,71,2,0
374,M,1,170,645712.7444,5283279.983,664,0,65,2,0
374,M,1,171,645414.7583,5284145.468,647,2,25,4,2
374,M,1,172,645686.2583,5283737.479,685,0,91,0,0
374,M,1,174,647644.2688,5283981.502,608,0,51,1,0
374,M,1,175,647402.8422,5284086.579,636,0,46,2,0
374,M,1,176,648098.2759,5284403.405,652,1,93,0,1
374,M,1,177,648618.8321,5284275.464,704,0,59,5,0
374,M,1,178,648689.6515,5284207.216,721,0,82,3,0
374,M,1,180,647417.5745,5283535.374,597,0,46,0,0
374,M,1,181,648163.2158,5284182.648,634,4,28,11,4
374,M,1,91,652392.3289,5281385.004,647,0,46,0,0
374,M,1,92,652412.4713,5281304.349,625,1,67,0,1
374,M,1,93,651455.5072,5282137.88,712,0,87,1,0
374,M,1,94,651877.0051,5282247.85,694,0,53,2,0
374,M,1,95,651277.67,5281496.027,624,0,36,1,0
374,M,1,96,651926.135,5281891.041,697,1,59,2,1
374,M,1,97,652690.1572,5281886.586,653,0,43,6,0
374,M,1,98,651856.4975,5281911.464,680,1,19,3,1
374,M,1,99,650481.9892,5282345.028,646,2,33,5,2
374,M,1,100,650862.5505,5282353.778,696,0,39,3,0
374,M,1,101,650578.7571,5282030.591,602,6,10,6,6
374,M,1,102,651474.6483,5282123.922,712,0,81,2,0
374,M,1,103,651746.7247,5281742.897,670,0,58,0,0
