Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
02/11/2020,Daisy,Dog,Shih Tzu,Female,69,Adult Dog (5 months-8 years),White,1,1,,
07/12/2021,Dani,Dog,"Terrier, American Pit Bull",Female,93,Adult Dog (5 months-8 years),Black,15,15,59.5 lbs,
02/15/2020,Arabella,Cat,Domestic Shorthair,Female,92,Adult Cat (5-10 years),Black,1,1,12.13 lbs,
02/15/2020,Arabella,Cat,Domestic Shorthair,Female,92,Adult Cat (5-10 years),Black,1,1,12.13 lbs,
02/15/2020,Arabella,Cat,Domestic Shorthair,Female,92,Adult Cat (5-10 years),Black,1,1,12.13 lbs,
02/15/2020,Arabella,Cat,Domestic Shorthair,Female,92,Adult Cat (5-10 years),Black,1,1,12.13 lbs,
02/24/2020,Luna,Dog,"Husky, Siberian",Female,35,Adult Dog (5 months-8 years),White,1,1,,
02/24/2020,Luna,Dog,"Husky, Siberian",Female,35,Adult Dog (5 months-8 years),White,1,1,,
01/17/2020,Tyson,Dog,"Terrier, Yorkshire, Yorkie",Male,35,Adult Dog (5 months-8 years),Black,1,1,,
02/20/2020,Curly,Dog,"Poodle, Miniature",Female,42,Adult Dog (5 months-8 years),White,1,1,,
02/20/2020,Curly,Dog,"Poodle, Miniature",Female,42,Adult Dog (5 months-8 years),White,1,1,,
02/20/2020,Curly,Dog,"Poodle, Miniature",Female,42,Adult Dog (5 months-8 years),White,1,1,,
02/01/2020,Yui-Gi-Oh,Dog,"Terrier, Border",Male,41,Adult Dog (5 months-8 years),Tan,1,1,,
02/17/2020,Stella,Dog,Boxer,Female,44,Adult Dog (5 months-8 years),Brown,1,1,,
03/07/2020,Champ,Dog,"Pinscher, Miniature",Male,130,Senior (8+years),Black,1,1,9.62 lbs,"D2D Required,Kids under 6 meet first,Offsite Approved"
03/07/2020,Champ,Dog,"Pinscher, Miniature",Male,130,Senior (8+years),Black,4,4,9.62 lbs,"D2D Required,Kids under 6 meet first,Offsite Approved"
03/11/2020,Ellie,Dog,Retriever,Female,58,Adult Dog (5 months-8 years),White,1,1,,
02/06/2020,Bear,Dog,"Retriever, Labrador",Male,79,Adult Dog (5 months-8 years),Brown,1,1,,
07/01/2020,Penny,Dog,"Terrier, American Pit Bull",Female,55,Adult Dog (5 months-8 years),Brown,15,15,39.5 lbs,"D2D Required,Kids under 10 meet first,No Cats,No kids under 6,No Small Animals,No Small Dogs"
03/14/2020,Ginger,Dog,"Terrier, American Pit Bull",Female,115,Senior (8+years),Red/Mahogany,1,1,,
05/20/2020,Thomas,Cat,Domestic Medium Hair,Male,66,Adult Cat (5-10 years),Grey,6,6,10.1 lbs,Only Cat Home
03/06/2020,PJ,Dog,"Chihuahua, Short Coat",Male,161,Senior (8+years),Tan,2,2,13.6 lbs,
03/06/2020,PJ,Dog,"Chihuahua, Short Coat",Male,161,Senior (8+years),Tan,1,1,13.6 lbs,
03/06/2020,PJ,Dog,"Chihuahua, Short Coat",Male,161,Senior (8+years),Tan,1,1,13.6 lbs,
03/06/2020,PJ,Dog,"Chihuahua, Short Coat",Male,161,Senior (8+years),Tan,1,1,13.6 lbs,
03/06/2020,PJ,Dog,"Chihuahua, Short Coat",Male,161,Senior (8+years),Tan,1,1,13.6 lbs,
02/15/2020,Monkey,Dog,"Chihuahua, Short Coat",Male,40,Adult Dog (5 months-8 years),Tan,1,1,,
02/07/2020,Sierra,Dog,Pomeranian,Female,31,Adult Dog (5 months-8 years),Black,1,1,,
03/16/2020,Athena,Dog,"Husky, Siberian",Female,53,Adult Dog (5 months-8 years),White,1,1,73 lbs,"D2D Required,Kids under 10 meet first,No Cats,No kids under 6"
03/16/2020,Athena,Dog,"Husky, Siberian",Female,53,Adult Dog (5 months-8 years),White,1,1,73 lbs,"D2D Required,Kids under 10 meet first,No Cats,No kids under 6"
03/16/2020,Athena,Dog,"Husky, Siberian",Female,53,Adult Dog (5 months-8 years),White,2,2,73 lbs,"D2D Required,Kids under 10 meet first,No Cats,No kids under 6"
04/16/2021,Scratchy,Cat,Domestic Shorthair,Female,29,Young adult (1-5 years),Brown,4,4,15.9 lbs,"Bonded,Doesn't like to be picked up,Has Lived With Cats,Has Lived with Kids"
02/07/2020,Pickle,Cat,Domestic Shorthair,Female,54,Young adult (1-5 years),White,1,1,,
03/16/2020,Snowy,Dog,"Poodle, Miniature",Male,90,Adult Dog (5 months-8 years),White,1,1,,
