ID,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,VRM21,dist2drainage,dist2spring,veg_class,used
20018,5/21/2016,12:00,3.6,2075.21,258.848,1.99467,1.10309,0.225103,32,2492.86,Sparsely Vegetated,1
20018,5/21/2016,16:01,5.2,2053.41,241.331,0.283923,1.69802,0.227714,23,2479.06,Sparsely Vegetated,1
20018,5/22/2016,16:00,5,1979.33,117.203,1.7493,1.66223,0.155144,64.2028,2754.13,Shrubland,1
20018,5/22/2016,20:00,2.4,2017.72,49.1193,0.261083,0.326204,0.142721,92.0869,2676.1,Shrubland,1
20018,5/23/2016,0:00,3.6,1963.38,93.2294,0.419833,0.185503,0.089989,97.17,2848.64,Shrubland,1
20018,5/31/2016,16:00,4.6,1891.43,104.914,0.530645,0.11699,0.152803,133.462,2339.33,Open Tree Canopy,1
20018,5/22/2016,4:00,4.8,2064.54,94.9275,0.287345,1.70152,0.219178,151.321,2194.51,Shrubland,1
20018,5/26/2016,0:01,8.6,2115.5,84.4776,1.21937,1.97564,0.0900047,124.258,2278.82,Herbaceous-Shrub Steppe,1
20018,5/26/2016,4:00,3.4,2032.69,217.983,0.106105,0.551724,0.210817,119.206,2211.06,Shrubland,1
20018,5/26/2016,8:00,2.4,2032.69,217.983,0.106105,0.551724,0.210817,120.739,2210.82,Shrubland,1
20018,5/26/2016,12:00,3.8,2032.69,217.983,0.106105,0.551724,0.210817,123.988,2205.85,Shrubland,1
20018,5/31/2016,4:00,3,1956.36,69.4669,1.79395,1.60798,0.175505,78.7147,2302.72,Shrubland,1
20018,5/31/2016,8:00,2,1949.85,86.411,1.70939,0.295185,0.171854,77.8203,2304.71,Shrubland,1
20018,5/31/2016,12:00,3,1957.74,67.7248,0.0388514,1.27603,0.160976,99.4032,2296.55,Shrubland,1
20018,6/1/2016,4:00,3.8,2032.69,217.983,0.106105,0.551724,0.210817,121.622,2211.57,Shrubland,1
20018,6/1/2016,8:00,2.2,2032.69,217.983,0.106105,0.551724,0.210817,121.511,2210.7,Shrubland,1
20018,6/1/2016,12:00,2.2,2034.93,307.9,1.9942,1.10759,0.214247,127.988,2198.15,Shrubland,1
20018,6/14/2016,8:00,3.4,2168.24,74.255,0.87741,1.99246,0.126455,126.752,2418.36,Shrubland,1
20018,6/14/2016,12:00,2.8,2160.58,120.715,0.771322,1.9735,0.111538,122.589,2416.96,Shrubland,1
20018,5/21/2016,20:01,6.8,1968.84,72.6147,0.874566,0.00789803,0.139896,24.0416,2226.11,Shrubland,1
20018,5/22/2016,0:00,5.2,2045.8,152.303,2,0.999578,0.243495,195.161,2115.07,Shrubland,1
20018,5/22/2016,8:00,2.2,2066.42,63.7029,0.00100344,1.04479,0.229421,170.414,2175.67,Shrubland,1
20018,5/22/2016,12:00,2.2,2066.42,63.7029,0.00100344,1.04479,0.229421,171.12,2176.45,Shrubland,1
