COLLECTION_Date,TRACE,LONG,LAT,ELEV [m],TWT [ns],"SNOW DEPTH [m, assuming velocity of 0.234 m/ns]",SWE [mm assuming density of 335 kg/m3],EASTING,NORTHING,UTM_ZONE,TRANSECT
GPR_0042_020817,10565,-108.0645335,39.04448083,-999,5.4626,0.645,216,754050.8979,4325821.749,12S,46
GPR_0042_020817,10566,-108.0645334,39.04448083,-999,5.5114,0.645,216,754050.9052,4325821.749,12S,46
GPR_0042_020817,10567,-108.0645333,39.04448083,-999,5.5113,0.651,218,754050.9124,4325821.749,12S,46
GPR_0042_020817,10568,-108.0645332,39.04448083,-999,5.5113,0.651,218,754050.9196,4325821.75,12S,46
GPR_0042_020817,10569,-108.0645331,39.04448083,-999,5.2187,0.616,206,754050.9268,4325821.75,12S,46
GPR_0042_020817,10570,-108.064533,39.04448083,-999,5.2675,0.622,208,754050.934,4325821.75,12S,46
GPR_0042_020817,10571,-108.064533,39.04448083,-999,5.6577,0.662,222,754050.9412,4325821.75,12S,46
GPR_0042_020817,10572,-108.0645329,39.04448083,-999,5.2187,0.616,206,754050.9484,4325821.751,12S,46
GPR_0042_020817,10573,-108.0645328,39.04448083,-999,5.6089,0.656,220,754050.9556,4325821.751,12S,46
GPR_0042_020817,10574,-108.0645327,39.04448083,-999,5.2675,0.616,206,754050.9629,4325821.751,12S,46
GPR_0042_020817,10575,-108.0645326,39.04448083,-999,5.6577,0.662,222,754050.9701,4325821.751,12S,46
GPR_0042_020817,10576,-108.0645325,39.04448083,-999,5.3163,0.622,208,754050.9773,4325821.752,12S,46
GPR_0042_020817,10577,-108.0645325,39.04448083,-999,5.6089,0.656,220,754050.9845,4325821.752,12S,46
GPR_0042_020817,10578,-108.0645324,39.04448083,-999,5.3163,0.622,208,754050.9917,4325821.752,12S,46
GPR_0042_020817,10579,-108.0645323,39.04448083,-999,5.7065,0.668,224,754050.9989,4325821.752,12S,46
GPR_0042_020817,10580,-108.0645322,39.04448083,-999,5.5601,0.651,218,754051.0061,4325821.753,12S,46
GPR_0042_020817,10581,-108.0645321,39.04448083,-999,5.2675,0.616,206,754051.0134,4325821.753,12S,46
GPR_0042_020817,10582,-108.064532,39.04448083,-999,5.5601,0.651,218,754051.0206,4325821.753,12S,46
GPR_0042_020817,10583,-108.064532,39.04448083,-999,5.2675,0.616,206,754051.0278,4325821.753,12S,46
GPR_0042_020817,10584,-108.0645319,39.04448083,-999,5.3163,0.616,206,754051.035,4325821.753,12S,46
GPR_0042_020817,10585,-108.0645318,39.04448083,-999,5.2675,0.616,206,754051.0422,4325821.754,12S,46
GPR_0042_020817,10586,-108.0645317,39.04448083,-999,5.3163,0.622,208,754051.0494,4325821.754,12S,46
